,phrase,sentiment values
5544,good qualiti obscur,0.38889
5545,worst kind independ ; one actor play,0.20833
5546,expiri date long gone,0.23611
5547,dramat scene jar deepli place could ( probabl ) lightheart comedi,0.30556
5548,begin envi condit,0.40278
5549,tech-geek,0.5
5550,after-school special,0.44444
5551,feel less like bad cinema like stuck dark pit nightmar bad cinema,0.055556
5552,standard romant comedi,0.5
5553,wisecrack mysteri scienc theater 3000 guy,0.61111
5554,"bumbl , tongue-ti screen persona",0.5
5555,cinemat portrait .,0.56944
5556,"fessenden nurtur metaphor expens narr , display origin talent",0.61111
5557,horribl depress,0.055556
5558,love yet,0.72222
5559,green plastic armi men excit,0.16667
5560,n't sharp fresh 'm one want,0.47222
5561,fairli success fake pretti cool stunt complet failur tri creat pretti cool charact . forget attempt plot !,0.20833
5562,made realiz realli n't good cheesi b-movi play theater sinc ... well ... sinc last week 's reign fire .,0.27778
5563,cast uniformli excel ...,0.94444
5564,undeserv victim,0.36111
5565,"full frontal lack themat coher larg make loosey-goosey , experiment entertain . still",0.55556
5566,"though run 163 minut , safe conduct anyth languor . 's pack burst incid , score charact , fiction , histori .",0.69444
5567,fiji diver rusi vulakoro,0.5
5568,less,0.48611
5569,dishonest,0.36111
5570,think 've figur late marriag,0.5
5571,moulin roug,0.5
5572,coupl screen-eat dominatrix like goldi hawn susan sarandon raunchi,0.59722
5573,new,0.55556
5574,seem interest kick around raison d'etr 's fresh-fac young-gun cast .,0.52778
5575,90 minut so-cal ` comedi ' laugh,0.15278
5576,hollywood end may way say piffl airhead movi busi deserv right,0.22222
5577,miser,0.16667
5578,( seagal 's ) strenuou attempt chang express,0.27778
5579,n't seen scene featur footbal field-siz orient rug,0.59722
5580,"featur pathet , endear hero human",0.56944
5581,unlik,0.36111
5582,"time guy tap power emot , kind materi effect stage .",0.51389
5583,shtick,0.51389
5584,bear wast except good idea .,0.45833
5585,. kaufman,0.5
5586,"premis , mope dreari tract virtual plotless meander",0.13889
5587,heavy-hand screenplay,0.40278
5588,"sparklingli invent art , alway fast",0.8472200000000001
5589,"good gossip ,",0.59722
5590,addict guilti pleasur materi,0.72222
5591,power entiti strangl life,0.58333
5592,"best , slightli less",0.52778
5593,irrelev engag,0.33333
5594,like adult everyon,0.54167
5595,"stale , fact ,",0.15278
5596,look feel tire,0.125
5597,'s easi movi watch probabl disturb mani see,0.375
5598,alan taylor,0.5
5599,ambigu suggest possibl imbu theme ad depth reson,0.58333
5600,"low-brow humor , gratuit violenc disturb disregard",0.27778
5601,"anoth genr exercis ,",0.38889
5602,miracul movi,0.95833
5603,like overcook souffl,0.22222
5604,addit storylin,0.5
5605,help,0.47222
5606,surpris nation,0.59722
5607,turn annoy specimen human usual dread encount - fanboy,0.26389
5608,"would n't surpris ba , murdock rest a-team seen give chase black red van",0.47222
5609,better origin,0.8333299999999999
5610,"degrad ,",0.45833
5611,'s adventur stori histori lesson one,0.75
5612,"movi attempt mine laugh genr -- gangster\/crim comedi -- wore welcom audienc sever year ago , cutesi relianc movie-specif clich n't exactli endear",0.11111
5613,cute idea,0.59722
5614,remind 's '' true stori '' 're like one helluva time movi,0.76389
5615,'s told countless filmmak,0.4305600000000001
5616,", entertain comedi",0.77778
5617,well integr,0.69444
5618,'s ),0.5
5619,offer none-too-origin premis everyon involv moviemak con artist liar .,0.33333
5620,kind,0.5
5621,'s wors sign begin envi condit,0.40278
5622,done,0.47222
5623,offend appear either seriou lightheart,0.34722
5624,scare,0.5
5625,"subzero version monster , inc. , without latter 's imagin , visual charm textur",0.18056
5626,old french cinema,0.51389
5627,seen 10,0.5
5628,locat genuin honest moment movi,0.63889
5629,", art heart , necessari one",0.72222
5630,"never becom filmmak dad , heck -- filmmak .",0.56944
5631,"dumb , fun , curious adolesc movi .",0.69444
5632,call cop,0.38889
5633,one franc 's invent director,0.88889
5634,issu,0.52778
5635,saccharin,0.5
5636,highli entertain,0.88889
5637,realli dumb occasion realli funni .,0.48611
5638,"sound like anoth clever pointless excurs abyss , 's less play .",0.375
5639,longer exposit sequenc,0.375
5640,"girl friday , '' maintain light touch tackl seriou theme",0.72222
5641,skin,0.36111
5642,n't like,0.38889
5643,america 's thirst,0.625
5644,pristin forest,0.61111
5645,basic flaw,0.375
5646,'s,0.5
5647,illumin fulli,0.61111
5648,goth-vampir,0.5
5649,in,0.5
5650,perspect shift,0.55556
5651,stumbl search emot,0.33333
5652,euphem ` urban drama,0.5
5653,'s metaphor love stori,0.69444
5654,acid all-mal eve,0.38889
5655,seemingli irreconcil,0.29167
5656,"rhetor ,",0.40278
5657,ego,0.47222
5658,"help love cinema paradiso , whether origin version new director 's cut .",0.77778
5659,rife,0.5
5660,", room nois",0.61111
5661,kwan,0.5
5662,hammer . thumb,0.5
5663,"maker , show",0.5
5664,self-consci attempt,0.40278
5665,"melodramat music marri two hour underdog sport intrigu ,",0.58333
5666,"lani 's profession success mean must failur life , 's driven ambit n't know fun .",0.34722
5667,ambigu present,0.52778
5668,"witti take chang , risk romanc , film use humour make point accept growth .",0.93056
5669,captur soul man pain gradual come recogn deal,0.66667
5670,sitcom,0.52778
5671,'s get busi basketbal court 's realli score,0.58333
5672,aim film young male throe first full flush testosteron,0.5
5673,clich,0.31944
5674,within camp creat complet numb experi,0.59722
5675,origin,0.5
5676,'' jack ryan 's `` do-ov . '',0.5
5677,juli,0.5
5678,oddli sweet comedi,0.79167
5679,overstay,0.34722
5680,sustain seventy-minut run time,0.47222
5681,famili church meet,0.61111
5682,"cinema , inde sex",0.5
5683,one thing give credit : messag movi,0.55556
5684,fanci film typic problem averag peopl,0.63889
5685,bubbl vast collect memori combat,0.5
5686,black bmw,0.38889
5687,advanc,0.61111
5688,brush,0.5
5689,root genr depend surpris,0.5
5690,cia lost u.s. satellit,0.27778
5691,"game movi tri make sens titl charact , remain huge gap film 's creepi",0.19444
5692,seem twice long,0.125
5693,circular indic profund,0.36111
5694,talk head,0.58333
5695,well worth revisit mani time,0.86111
5696,"complet honest , open-heart film",0.8472200000000001
5697,"sit , enjoy certain level",0.625
5698,must-own,0.59722
5699,feral,0.51389
5700,first computer-gener featur cartoon,0.61111
5701,predict,0.40278
5702,malaprop,0.47222
5703,"'ve seen mani time ,",0.41667
5704,"donovan ... squander main asset , jacki chan ,",0.25
5705,lousi direct,0.27778
5706,lack depth make heart .,0.69444
5707,eleg,0.65278
5708,whale,0.5
5709,neater,0.56944
5710,", despit gratuit cinemat distract impress upon , still good fun .",0.77778
5711,unknow,0.52778
5712,add big box offic buck guarante .,0.76389
5713,much see horribl 's also undeni exceedingli clever .,0.76389
5714,", tale unfold like lazi summer afternoon conclud crisp clariti fall dawn .",0.79167
5715,imit,0.38889
5716,sprinkl,0.5
5717,eddi murphi deploy two,0.5
5718,band,0.61111
5719,boy inject enough fresh proceed provid enjoy 100 minut movi theater .,0.68056
5720,protect cocoon,0.61111
5721,right approach right open premis,0.68056
5722,target audienc,0.5
5723,"' ... film 's consid approach subject matter calm thought agitprop , thin character make failur straight drama . '",0.22222
5724,deserv gong,0.33333
5725,put littl much heart first film n't reserv enough second,0.45833
5726,fascin littl thriller would perfect old '' twilight zone '' episod,0.625
5727,charact make italian beginn worth journey,0.76389
5728,difficult-to-swallow,0.26389
5729,leaden close act,0.48611
5730,andrew 's turnabout fair play everi bit aw borchardt 's coven,0.0
5731,hold,0.5
5732,-- go see,0.69444
5733,like unreal potenti,0.55556
5734,blith anachronist,0.61111
5735,queen damn might guess,0.44444
5736,astoria,0.5
5737,dant,0.5
5738,likabl,0.77778
5739,esther 's,0.5
5740,"love altern version bard , particularli one involv deep fryer hamburg",0.5
5741,minor report,0.5
5742,"everlast conundrum experienc everi human ever live : much , littl time",0.65278
5743,walt becker 's,0.48611
5744,anthoni asquith 's,0.5
5745,quirki -- stereotyp -- street charact,0.73611
5746,see,0.63889
5747,keep interest,0.70833
5748,constantli check watch,0.22222
5749,tangl plot,0.40278
5750,case pregnant premis wast script take chanc manag insult intellig everyon audienc .,0.16667
5751,"overblown clunker full bad joke , howl clich by-the-numb action sequenc .",0.055556
5752,tri pay less attent miniseri attent film,0.375
5753,extrem enough,0.41667
5754,care period attent well,0.69444
5755,petit frame,0.54167
5756,watch merchant ivori product,0.65278
5757,david jacobson 's dahmer .,0.5
5758,least four time . everi joke repeat least -- annoy,0.18056
5759,reduc,0.36111
5760,talk,0.51389
5761,unintent surreal kid 's pictur ...,0.40278
5762,squeez action emot all-too-familiar dramat arc holocaust escap stori,0.69444
5763,clever,0.8472200000000001
5764,everyth els film,0.5
5765,love hush,0.58333
5766,horribl movi,0.11111
5767,southern black,0.5
5768,fresh say,0.58333
5769,twisti,0.55556
5770,howi long,0.5
5771,film,0.5
5772,"entri portal rule attract , spent movi feel depress shallow , selfish , greedi charact",0.19444
5773,stone colleg student,0.33333
5774,"film differ appl strike encourag us see samira makhmalbaf distinct sensibl , work develop film languag conspicu success .",0.77778
5775,nonthreaten,0.48611
5776,allow,0.5
5777,"movi occasion threaten becom didact , 's ground realiti charact go edg . touch humor unexpect plot twist alway pull back",0.73611
5778,possibl irrespons pictur ever releas major film studio .,0.27778
5779,n't connect would requir anoth view,0.25
5780,scoobi doobi doo \/ shaggi,0.5
5781,wife 's plot noth special ; 's deliveri matter .,0.5
5782,charact film .,0.5
5783,fast .,0.65278
5784,slot,0.5
5785,"told on-camera interview sever survivor , whose rivet memori render clariti 's happen yesterday",0.91667
5786,essenti featur,0.61111
5787,attent nuanc emot develop delic charact,0.72222
5788,luvvi raptur,0.58333
5789,leaki freighter,0.36111
5790,like rudi yellow lodg,0.5
5791,eastern world polit,0.5
5792,good,0.8333299999999999
5793,far,0.5
5794,familiar,0.52778
5795,upon knot,0.5
5796,busi make refer film tri film,0.26389
5797,everi theater stuck,0.38889
5798,intrigu speci,0.69444
5799,littl joke,0.65278
5800,handsom well-mad entertain,0.86111
5801,inept filmmak,0.23611
5802,"compel , amus unsettl",0.75
5803,exploit art hous cynic,0.34722
5804,mojo,0.5
5805,"fire torpedo clanci 's hole , scripter n't deserv oscar .",0.25
5806,simpl '' goddammit,0.30556
5807,convict,0.59722
5808,"thank strong , credibl perform whole cast",0.90278
5809,though occasion fun enough make,0.68056
5810,solondz,0.48611
5811,clean peep booth surround,0.51389
5812,fairli unsettl,0.4305600000000001
5813,hallmark hall fame,0.5
5814,"'re like seen , beneath exot surfac ( exot danc ) 's surprisingli old-fashion",0.61111
5815,lacklust screenplay,0.25
5816,gaze,0.55556
5817,putrid pond,0.36111
5818,", vision begin feel",0.44444
5819,see movi -- histor signific,0.81944
5820,guilti,0.5
5821,entir wholesom,0.45833
5822,wait three year breathless anticip new hal hartley movi pore,0.79167
5823,enthral whole famili,0.81944
5824,utterli charm french comedi,0.73611
5825,favorit pet,0.56944
5826,come across like noth glorifi nike ad,0.375
5827,tire,0.25
5828,movie-movi,0.5
5829,relationship,0.63889
5830,actor much charisma 'd happi listen read phone book . hugh grant sandra bullock two likeabl actor .,0.91667
5831,actor humanli engag,0.77778
5832,laugh-out-loud funni,0.77778
5833,`` bourn ident '',0.5
5834,charact understand,0.51389
5835,seriou idea,0.54167
5836,"buck expend full price date ,",0.55556
5837,rope snap,0.45833
5838,"elus , love place",0.73611
5839,difficult,0.25
5840,touch,0.55556
5841,three-hour effort,0.4305600000000001
5842,cast adrift variou new york citi locat unifi rhythm visual style .,0.31944
5843,"sarah 's dedic find husband seem psychot romant , noth movi make convinc case one woman 's broken heart outweigh loss wit .",0.22222
5844,chan,0.5
5845,help give spark '' chase ami '' '' chang lane '',0.61111
5846,find million eager fan,0.70833
5847,make problemat documentari subject,0.51389
5848,"( 's ) prison soccer movi star charismat tough guy vinni jone ,",0.40278
5849,rate anni,0.63889
5850,"turkey , would gobbl dolbi digit stereo .",0.13889
5851,sinc begin time,0.4305600000000001
5852,dead-on elect,0.65278
5853,real thing,0.61111
5854,unaffect . drama,0.5
5855,cast member,0.5
5856,time restrain,0.36111
5857,'' waterboy,0.45833
5858,mani graze funni bone,0.55556
5859,"noth happen , happen flat charact .",0.25
5860,"'s wise power tale race cultur forc told , superb perform throughout .",0.93056
5861,even bull,0.5
5862,fabian,0.5
5863,twentysometh,0.56944
5864,"'s effort watch movi ,",0.625
5865,"film occasion tri viewer 's patienc slow pace main charact sometim defi sympathi , ultim satisfi move stori",0.61111
5866,", unaffect style",0.41667
5867,spear,0.4305600000000001
5868,sweet,0.55556
5869,touch good sens experi women,0.75
5870,illumin,0.5
5871,strip excess debri,0.51389
5872,core ; explor empti underlay relentless gaieti,0.40278
5873,flat,0.26389
5874,patriot,0.63889
5875,longer simpli spoof mini-mod-mad '60 spi movi,0.55556
5876,helga,0.5
5877,sun-splash,0.58333
5878,mad maniac,0.48611
5879,glanc,0.5
5880,grab old ladi end aisl 's walker toss screen frustrat,0.33333
5881,pretti deep uncov,0.5
5882,fan first men black come away hate second one,0.125
5883,option slap creator 're clueless inept,0.36111
5884,bar dancer,0.5
5885,"rough-around-the-edg , low-budget constraint",0.38889
5886,refus,0.5
5887,bizarr curios memor,0.65278
5888,old coke,0.5
5889,heal,0.625
5890,nose,0.47222
5891,like disappoint,0.11111
5892,"brian de palma utterli mad : cinema mad , set-piec mad , style mad .",0.45833
5893,complexli,0.58333
5894,action dazzl . n't work concert,0.58333
5895,sit still,0.5
5896,"gori , pervert , sex-soak riff",0.25
5897,"guillen rare get beneath surfac thing . list ingredi , never mix stir .",0.26389
5898,bartlebi perform neither one well .,0.26389
5899,appli detail film 's music,0.51389
5900,inform,0.55556
5901,alreadi,0.51389
5902,achiev,0.56944
5903,without develop much attach charact,0.47222
5904,fail miser,0.23611
5905,tale seven children,0.5
5906,old testament tale,0.58333
5907,n't - kids-cut sentiment warmth n't fake state sens composit,0.77778
5908,toilet score direct hit,0.30556
5909,'s sharpli comic surprisingli touch,0.90278
5910,146,0.5
5911,would count littl movi n't beauti shape delic calibr tone,0.72222
5912,"children , wo n't enjoy movi",0.22222
5913,"unfold wallop you-are-ther immediaci bullet start fli , first instinct duck",0.38889
5914,fine product,0.81944
5915,movi desper miscalcul .,0.16667
5916,one film requir enemi never shoot straight,0.23611
5917,"excel , unlik mani hollywood movi ilk , offer hope .",0.80556
5918,"'s better phantom menac . unless 're absolut rave star war junki , n't much fun .",0.26389
5919,curs,0.30556
5920,"heart , stori flatten instead sharpen",0.33333
5921,parent ' anguish,0.33333
5922,parabl .,0.44444
5923,workshop,0.5
5924,life-at-arm 's,0.58333
5925,'ll wait vain movi happen,0.19444
5926,certain base level,0.45833
5927,black genr spoof,0.5
5928,"great hook , clever bit well-drawn , standard issu , charact ,",0.73611
5929,movi reach far beyond core demograph .,0.8472200000000001
5930,toback 's detractor alway accus make,0.55556
5931,"charact , loveabl otherwis",0.13889
5932,stretch pad materi blur dead end distract camera work,0.23611
5933,neither sappi big daddi,0.40278
5934,dish,0.51389
5935,", see barb brace comedi big screen",0.61111
5936,object refus,0.31944
5937,drab . 's uninterest,0.40278
5938,horror !,0.375
5939,"entertain , ultim minor , thriller",0.47222
5940,door,0.5
5941,approach workplac,0.5
5942,hip-hop clip,0.5
5943,charact straight central cast,0.44444
5944,"friend ,",0.51389
5945,bungl way,0.375
5946,well schmaltz manufactur -- assess qualiti manipul engin,0.375
5947,balanc tradit modern stori togeth manner,0.73611
5948,prove undo,0.40278
5949,stylish exercis,0.66667
5950,seem disappoint gener,0.16667
5951,work utmost subtleti percept,0.72222
5952,vagu discont woman substanc,0.44444
5953,oafish,0.38889
5954,"'m sure wors : poor act ensembl cast , flat dialogu vincent r . nebrida gutless direct",0.23611
5955,peni,0.55556
5956,hayn ' absolut control,0.55556
5957,"shine usual spielberg flair , expertli",0.80556
5958,littl disguis fact charact bare move,0.34722
5959,"let love deprav lead meet , ( deni ' ) stori becom hopeless , unsatisfi muddl",0.18056
5960,sara,0.5
5961,"sexi , surpris romanc ... idemoto kim make gorgeou pair ... scene brim sexual possibl emot danger",0.8472200000000001
5962,thrive taut perform creepi atmospher even screenplay fall somewhat short .,0.54167
5963,start explor obviou voyeurist potenti ` hypertim ',0.55556
5964,`` hous game '',0.5
5965,denni quaid athlet heart,0.75
5966,"same-old , lame-old slasher nonsens",0.18056
5967,mix smile tear,0.76389
5968,love call jeanett macdonald,0.66667
5969,main event,0.5
5970,irrevers,0.48611
5971,"end , along green 's half-heart movi career",0.27778
5972,someon director got edit room tri improv thing make movi go faster,0.20833
5973,n't,0.375
5974,cautionari tale,0.45833
5975,"'s tough black man america ,",0.5
5976,fair amount intellig wit,0.8472200000000001
5977,bald 50-year-old actor play innoc boy carv log,0.44444
5978,'s also year 's sweetest movi .,0.8472200000000001
5979,dialogu sound like horribl poetri .,0.18056
5980,affabl undernourish romant comedi,0.40278
5981,lousi tarantino imit subsid,0.27778
5982,", irish",0.59722
5983,"beauti ,",0.69444
5984,", mildli amus could much .",0.4305600000000001
5985,snuck,0.40278
5986,caus massiv cardiac arrest taken larg dose,0.27778
5987,a-knock,0.61111
5988,given frame look,0.5
5989,"patriot game still turn small , person film emot wallop",0.77778
5990,know suffer ' see film 'll know .,0.25
5991,"gone straight video . look like action movi , 's poorli made , level , n't even qualifi spoof .",0.20833
5992,cultur 's manic mix,0.59722
5993,tartakovski,0.5
5994,invest much,0.47222
5995,resent betti,0.34722
5996,last two,0.5
5997,charact comedi bit,0.52778
5998,sleep,0.40278
5999,"juli davi kathi lee gifford film director , sadli prove ego n't alway go hand hand talent .",0.5
6000,campbel scott find ideal outlet flick-knif diction role roger swanson .,0.69444
6001,"misguid , ill-inform ,",0.30556
6002,irrespons pictur,0.4305600000000001
6003,stellar,0.8472200000000001
6004,action epic,0.76389
6005,plod,0.30556
6006,dreari rip-off goodfella serv muddl offens cautionari tale hispan american .,0.30556
6007,movi light,0.61111
6008,"stay light , comic side issu , despit difficulti deal destruct properti , potenti , life",0.56944
6009,movi version paint-by-numb pictur .,0.125
6010,spoof take serious,0.34722
6011,"handgun , bmw",0.5
6012,film actual tell stori worth care,0.51389
6013,hole film remain agap,0.20833
6014,'' chase,0.5
6015,"honest perform realist interact charact , coming-of-ag stori twist",0.86111
6016,luckiest men,0.5
6017,waltz art film pantheon,0.73611
6018,creepi atmospher,0.25
6019,"far-flung , illog , plain stupid .",0.15278
6020,best,0.73611
6021,savvi director robert j . siegel,0.72222
6022,script machin,0.40278
6023,glorious,0.70833
6024,lovers-on-the-run crime flick,0.45833
6025,lilo & stitch,0.5
6026,'ve endur long workout without puls ever race,0.4305600000000001
6027,name say .,0.44444
6028,gorgeou look insuffer tediou turgid ...,0.375
6029,movi pose,0.51389
6030,", , point , issu subtli present , manag walk fine line regard question joan 's mad .",0.72222
6031,"follow thing entertain : bad sound , lack climax , worst , watch seinfeld ( also one film 's produc ) everyth look like good guy",0.11111
6032,shallow,0.38889
6033,piec work brilliantli .,0.8472200000000001
6034,"show intoler power deform famili , tear apart .",0.65278
6035,blackboard,0.5
6036,cultur distinct american brit,0.5
6037,ultim repel,0.22222
6038,,0.44444
6039,one-of-a-kind work,0.73611
6040,formula,0.58333
6041,author death venic,0.52778
6042,punch,0.44444
6043,put way,0.56944
6044,"hey everybodi , wanna watch movi guy dress children 's parti clown get violent gang-rap ? n't think .",0.083333
6045,holi land inhabit,0.63889
6046,exactli thing mind,0.41667
6047,cutting-edg,0.80556
6048,"volletta wallac 's matern furi , fearless",0.66667
6049,"unfortun , 're sandwich imposs dri account kahlo 's life imagin .",0.26389
6050,"` terribl filmmak ' bad , like",0.33333
6051,graze peac,0.52778
6052,figur 's,0.5
6053,"go theater expect scari , action-pack chiller",0.65278
6054,tries-so-hard-to-be-cool `` clockstopp,0.36111
6055,small children,0.5
6056,admir ensembl player wonder point,0.38889
6057,wannab comic adam ' attempt,0.25
6058,take whole mean .,0.68056
6059,hard whip life import earnest probabl pull muscl two,0.31944
6060,bigger-than-lif screen,0.65278
6061,american dream,0.61111
6062,preordain '' big moment '' occur,0.5
6063,master 's,0.61111
6064,pleasur watch child suffer . embarrass vagu sens shame .,0.13889
6065,right-on,0.75
6066,crap,0.29167
6067,constant referenc,0.44444
6068,incred layer stylist film,0.93056
6069,"sy , anoth open-fac , smile madmen , like killer insomnia . well",0.76389
6070,"ship news , attempt made transplant hollywood star newfoundland 's wild soil -- rock resist intrus",0.5
6071,gang-memb teen brooklyn circa,0.44444
6072,climb step stadium-seat megaplex,0.48611
6073,inan,0.52778
6074,", melancholi spell",0.41667
6075,knockaround,0.61111
6076,hot-blood,0.5
6077,scienc make count educ,0.51389
6078,julia robert,0.58333
6079,sweet gentl jesu,0.69444
6080,drop everyth run ichi .,0.625
6081,eddi,0.5
6082,latest cinemat essay,0.5
6083,bicker,0.4305600000000001
6084,typic bond knock-off,0.40278
6085,fanci special effect,0.69444
6086,nearli 21\/2 hour,0.5
6087,'ve rare,0.5
6088,screenplay level,0.55556
6089,", fearless",0.65278
6090,seem bound determin,0.51389
6091,fulli endear american art hous audienc,0.8333299999999999
6092,modern l.a. 's,0.55556
6093,easi smile,0.86111
6094,genuin believ 's way bring happi love one,0.58333
6095,sensual,0.65278
6096,'ll put hair chest,0.58333
6097,actor ',0.48611
6098,happi argu much,0.61111
6099,classic drama,0.61111
6100,storytel instinct slightli liter filmgo audienc,0.66667
6101,clean-cut dahmer ( jeremi renner ),0.45833
6102,lifetim,0.5
6103,six,0.5
6104,close,0.5
6105,spencer,0.55556
6106,feast,0.625
6107,also testament integr vision band .,0.55556
6108,rather unfocus,0.27778
6109,turn pretti convinc perform prissi teenag girl,0.65278
6110,"overal feel , broader idea",0.68056
6111,"vivid , spici footnot histori",0.52778
6112,emerg indian american cinema,0.5
6113,"chilli , neurot , self-absorb martha heart begin open",0.56944
6114,"woefulli dull ,",0.5
6115,"love 're see ,",0.76389
6116,recent war movi,0.51389
6117,'s without pleasur,0.72222
6118,"certainli entertain ride , despit mani talki , slow scene .",0.69444
6119,air condit,0.55556
6120,lack,0.33333
6121,larg 's altman-esqu,0.54167
6122,exampl type project,0.47222
6123,artist,0.61111
6124,"work well 'm almost recommend , anyway --",0.58333
6125,"witti , low-key romant comedi .",0.80556
6126,littl green men,0.5
6127,"lástima por schwarzenegg , pero es hora de que",0.5
6128,sudden violenc,0.27778
6129,affleck,0.5
6130,time 's simpli baffl,0.375
6131,first-class road movi,0.81944
6132,", intermitt hilari",0.72222
6133,script distanc sex love,0.5
6134,set heartfelt perform,0.70833
6135,'m mental challeng get fair shot movi busi,0.25
6136,comprehens,0.61111
6137,. disturb . disgust .,0.041667
6138,"philosoph , filmmak",0.38889
6139,hour win ` best pictur ',0.5
6140,hand-drawn,0.5
6141,human,0.52778
6142,portray literarili talent notori subject anyth much dirti old man,0.33333
6143,'s certainli,0.5
6144,might,0.5
6145,grow frustrat detach vincent becam abhorr,0.45833
6146,"compet ,",0.72222
6147,laugh littl one get fuzzi treat . ',0.77778
6148,'s bad plot,0.58333
6149,paus,0.44444
6150,challeng,0.5
6151,devast indict unbridl greed mater,0.58333
6152,zealand,0.5
6153,"vivid , vibrant individu movi 's focu upon make success access",0.94444
6154,quotat,0.5
6155,could someth special,0.51389
6156,", perhap , give urg get feet shake",0.44444
6157,unusu sci-fi charact studi chase flick detract end,0.30556
6158,"come like reject abc afterschool special , freshen dunc screenwrit 101 class .",0.16667
6159,one place,0.44444
6160,tread predict along familiar territori,0.375
6161,"friendship women pathet , dysfunct destruct",0.38889
6162,straight-shoot famili film,0.61111
6163,well-mad pb & j sandwich,0.73611
6164,mr .,0.47222
6165,feel dizzi,0.41667
6166,", might enjoy",0.66667
6167,behind-the-scen navel-gaz kaufman,0.54167
6168,laugh ( mayb twice ),0.36111
6169,war instal,0.5
6170,"friendship , famili affect",0.79167
6171,also demonstr desper maker ` 're - doing-it-for - the-cash ' sequel .,0.083333
6172,"'s weird sake weird ,",0.29167
6173,life --,0.5
6174,ca n't look away,0.65278
6175,sure hand,0.72222
6176,titular charact 's,0.5
6177,compass,0.59722
6178,"fatal , classism ,",0.5
6179,current incarn,0.51389
6180,strong unforc support cast,0.66667
6181,master . make minor report necessari view sci-fi fan,0.79167
6182,make us laugh,0.75
6183,subplot involv variou silberstein feel like pilot episod tv seri featur film,0.25
6184,film explos,0.8472200000000001
6185,numb . proof ballist : eck vs . sever,0.54167
6186,addit glu edg seat,0.66667
6187,film worship random e !,0.38889
6188,decad,0.56944
6189,'s film tosca want .,0.51389
6190,real stake,0.5
6191,,0.4305600000000001
6192,effect,0.61111
6193,"hype , celebr , high life , conspiraci mysteri",0.625
6194,new best friend 's playboy-mans present,0.47222
6195,bravura,0.66667
6196,scam,0.27778
6197,neglect all-star,0.47222
6198,inspir tale surviv wrap heart-pound suspens stylish psycholog thriller,0.8333299999999999
6199,depress life,0.29167
6200,"even-hand ideolog ship dock unload , continu longer journey still ahead",0.5
6201,base,0.48611
6202,render clariti,0.8472200000000001
6203,leav impress gotten,0.23611
6204,make old-fashion natur film educ viewer word pictur entertain,0.77778
6205,movi 's .,0.47222
6206,collater,0.61111
6207,afterschool,0.5
6208,bump head,0.33333
6209,paranoid impuls,0.5
6210,"particularli toxic littl bonbon , palat chosen jaundic",0.26389
6211,thick wit play like read bartlett 's familiar quotat,0.63889
6212,"epic documentari could get ,",0.80556
6213,wast 123 minut $ 9.50 21st centuri,0.083333
6214,"set world , far one us",0.70833
6215,matter-of-fact perform,0.4305600000000001
6216,also learn good deal state music busi 21st centuri,0.55556
6217,thing immun folli chang tast attitud .,0.51389
6218,gori ),0.47222
6219,command interest almost sole exercis gorgeou visual .,0.61111
6220,"would disingenu call reno great film , say flick move multiplex .",0.44444
6221,cours point,0.54167
6222,"uneven perform cast member , seem bound determin duplic bela lugosi 's now-clich vampir accent",0.20833
6223,mindless action flick,0.38889
6224,satisfi grown-up escap,0.81944
6225,make movi,0.5
6226,' 70 's,0.5
6227,,0.5
6228,"friday 13th way clean sober ,",0.38889
6229,"found final unmov film , immacul produc",0.23611
6230,"odd , rapt spell",0.36111
6231,strain chelsea wall,0.44444
6232,speck,0.5
6233,"sound ,",0.5
6234,christina,0.5
6235,actor,0.5
6236,` e ',0.5
6237,nut,0.5
6238,posit decad cinemat flash,0.76389
6239,eighth grade girl,0.5
6240,", tadpol much step right direct , blend frank , civil compass .",0.72222
6241,"troubl everi day success sens ,",0.55556
6242,"'ve never seen heard anyth quit like film ,",0.75
6243,mindset,0.5
6244,way introduc obstacl stumbl,0.48611
6245,updat,0.56944
6246,n't live exalt taglin - 's definit room improv .,0.375
6247,"well , 's probabl accur call movi",0.27778
6248,revel,0.56944
6249,check girl -- film frat boy 's idea good time,0.47222
6250,anoth routin hollywood frightfest slack execut italic absurd premis,0.25
6251,girl-on-girl,0.59722
6252,"origin ai n't menu , 's never dull moment giant spider invas comic chiller",0.72222
6253,deserv,0.5
6254,masterpiec,0.77778
6255,would good time .,0.75
6256,teen comedi,0.5
6257,charact,0.5
6258,instead tri bust,0.51389
6259,get raci,0.29167
6260,smorgasbord,0.55556
6261,stay friend,0.51389
6262,drop everyth,0.55556
6263,huge econom chang sweep modern china,0.5
6264,scene,0.5
6265,peopl hotel hallway recit poetri voice-ov instead speak,0.33333
6266,worth check perform alon,0.88889
6267,"( clooney 's ) debut accus bit undisciplin , tremend , offbeat sens style humor suggest influenc filmmak direct , especi coen brother steven soderbergh",0.63889
6268,", movi funni",0.66667
6269,part fun,0.63889
6270,intellig made ( beauti edit ) pictur least spark life -- say plenti movi flow hollywood pipelin without hitch .,0.8472200000000001
6271,tackl theme,0.65278
6272,prevent fire cylind,0.34722
6273,amus,0.55556
6274,am-radio soundtrack game cast,0.54167
6275,labour storytel,0.51389
6276,"absent recent crass-a-thon like tomcat , freddi got finger , slacker",0.29167
6277,dog,0.68056
6278,", tortur",0.63889
6279,funni accent,0.47222
